sdss_id,teff,logg,fe_h,mg_h,v_macro,snr,g_mag,bp_mag,rp_mag,plx,e_plx,gaia_dr3_source_id
60577026,6056.1743,4.2650805,-0.14234121,-0.25664192,9.232962,119.69388,11.044081,11.309969,10.616933,3.3983424,0.010904999,1332453581417354112
60577033,5721.0317,4.204501,-0.3946906,-0.15998413,4.039822,117.45669,12.723188,13.041843,12.2295265,1.7567343,0.021897228,1332454784008199808
60577036,5720.483,4.209473,-0.13654377,-0.07945734,1.8887101,77.13931,12.07882,12.39521,11.598211,2.6648557,0.008808106,1332455814800354432
60577042,6113.376,4.2954025,-0.005289478,-0.10557348,9.448164,359.5183,9.812709,10.070311,9.395242,4.9831758,0.011298629,1332456914311976448
60577085,5708.4575,4.157404,-0.43838513,-0.22656085,5.284469,156.05826,12.05591,12.364824,11.58026,2.3266132,0.025709014,1332464164216779264
60577109,5265.7314,4.5577426,0.10032218,0.09710725,1.7930642,243.27333,10.761896,11.179996,10.179933,8.839012,0.011127469,1332467668910049792
60577111,4636.5938,4.6001163,0.0665713,0.03407079,7.8894324,174.05658,12.395575,13.008753,11.652374,7.1365476,0.010292033,1332468111290406144
60577122,4181.343,4.774998,-0.89369595,-1.0277814,3.7287776,91.2729,14.280265,15.237414,13.312838,7.689091,0.0154428985,1332469489976193280
60577161,6394.37,4.355724,-0.45461982,-0.5370106,14.156981,143.50429,11.7438135,11.965915,11.373931,1.7221733,0.016380461,1332473505769326336
60577164,4118.0283,4.573031,-0.22229376,-0.11454246,0.2661655,166.94708,12.776497,13.546629,11.9201,9.290775,0.01500547,1332473922382951424
60577169,5631.764,4.505408,0.18429507,0.2255535,9.299463,138.15543,12.367101,12.740781,11.827656,2.0150583,0.02869044,1332474983239140864
60577173,5833.3667,4.2169485,-0.089005955,-0.18002693,7.8697696,64.65901,12.041113,12.32819,11.594602,2.5485508,0.011538486,1332475812168115840
60577178,5595.261,4.4685044,-0.04294749,-0.13160011,7.290174,110.94533,12.469908,12.797322,11.983464,2.9218655,0.0116303805,1332476293204446336
60577246,6707.371,4.3862753,-0.65556353,-0.8119897,29.996994,442.3547,10.086085,10.243842,9.796209,3.1624668,0.020334855,1332485329816065664
60577249,6127.3037,4.250081,-0.30742154,-0.4415404,10.3426,95.66268,11.80534,12.048619,11.406104,1.8067895,0.010507626,1332486257528539648
60577282,5452.04,4.119097,-0.5086661,-0.5473101,29.568913,139.50421,12.542557,12.8766575,12.037391,1.8980316,0.009607703,1332492820238657536
60577297,5519.0156,4.6359715,0.3880924,0.28893045,4.31852,140.46819,12.469308,12.8770485,11.903107,3.485261,0.010521426,1332496492435355392
60577319,5557.2754,4.250238,-0.31991586,-0.31077018,6.954115,71.19591,12.31848,12.627807,11.824543,1.9475591,0.13296454,1332500173222651520
60577334,6689.495,4.106401,-0.3164583,-0.37030396,14.186917,333.6571,9.943324,10.106931,9.65558,3.5130994,0.04508716,1332501852554547584
60577426,5993.8984,4.088229,-0.64468163,-0.5633862,7.5995574,134.4353,12.206308,12.460704,11.792724,1.673479,0.042083796,1332516283643596800
60577437,5586.658,4.5410323,-0.05022421,-0.06347803,6.2483277,272.32635,11.210971,11.40592,10.546877,5.9426823,0.38760653,1332517834129217280
60577440,5700.085,4.4035997,-0.17511855,-0.11145984,1.6041648,99.7404,11.617805,11.949967,11.119878,4.2678337,0.011251135,1332518246445501056
60577452,4921.764,4.5282373,0.057277117,0.086873844,6.503388,178.2372,12.190146,12.664276,11.549887,4.1247997,0.053059656,1332520200653772672
60577495,5978.0825,4.607483,-0.21742569,-0.31623653,4.6666117,126.69259,12.4112625,12.705919,11.956168,2.726562,0.009996325,1332527553637779456
60577500,5906.588,4.400429,-0.45007527,-0.37174252,4.080043,113.56976,11.994381,12.2338295,11.526187,2.367371,0.0108461585,1332528206473355264
60577506,4089.0703,4.952321,-0.016347015,0.13873021,1.8855416,344.06805,12.489608,13.457495,11.513608,13.667505,0.011531026,1332528794885230464
60577514,4658.7095,4.6274242,0.030607773,0.035207402,6.2356324,270.6361,12.260646,12.880661,11.511644,7.7454886,0.010042845,1332530203634478720
60577543,5574.3823,4.598971,-0.068341136,-0.14014168,4.6998897,326.4317,10.282579,10.640558,9.758514,9.432967,0.014615877,1332534017565447808
60577599,6080.1123,4.176791,-0.17277487,-0.2723155,27.207201,310.50183,10.022285,10.247684,9.643981,3.1966527,0.07791909,1332545081401165312
60577606,5835.092,4.061579,-0.3105791,-0.2643859,2.693575,128.80675,12.440249,12.733035,11.9844,1.6269596,0.010219244,1332546490150455552
60577654,5908.813,4.397607,0.061291255,-0.024393694,4.129535,87.42375,12.731941,13.036344,12.268974,1.7069051,0.011801051,1332557863223863808
60577661,5702.6562,4.5011487,-0.14271195,-0.25262323,6.8144984,836.22784,10.302801,10.623462,9.813417,7.002793,0.19698876,1332558619138109824
60577668,6177.769,4.1894007,-0.01367948,-0.16588792,12.743737,145.18745,11.619494,11.877528,11.206793,2.3169231,0.011809361,1332559443771835648
60577681,6028.237,4.593537,-0.12976679,-0.17284225,5.994693,169.85497,12.170895,12.204525,11.454431,-9999.0,-9999.0,1332560955600339328
60577697,5660.025,4.5920663,-0.0565046,-0.08207296,11.559338,198.55736,11.354431,11.70027,10.843718,3.8881807,0.01580277,1332563670019673344
60577768,6502.233,4.468904,-0.03425296,-0.27214986,29.974758,526.894,9.385104,9.605385,9.001939,4.5072303,0.103234746,1332572947148957440
60577778,5575.7314,4.4336615,-0.21573819,-0.25152326,4.342512,199.27911,11.719121,12.047781,11.225067,4.411738,0.0101660155,1332574390257971200
60577799,6046.267,4.4783745,-0.25126684,-0.22956832,2.3683903,148.56908,11.191964,11.480343,10.739463,3.7678382,0.011536809,1332577310835732608
60577830,5867.5503,4.3871303,-0.044196676,-0.07994055,1.9878019,99.826744,12.488931,12.798454,12.017553,2.399058,0.009146467,1332581124766809088
60577949,6106.0713,4.162928,-0.1535927,-0.16100712,5.163611,89.84553,12.631146,12.910039,12.199296,1.4198099,0.012569173,1332594490705492608
60577953,5837.045,4.3428307,0.23254536,0.18535824,5.909881,105.48986,12.844894,13.185434,12.341137,1.4697485,0.04722764,1332594731223222016
60577971,6146.697,4.5226007,-0.43158394,-0.38952005,10.885974,82.015755,12.5570965,12.813923,12.140164,1.7581173,0.01108155,1332596960309823488
60577979,5396.7627,4.6376286,-0.1266839,-0.021071352,6.325644,114.80149,12.934683,13.336014,12.368163,3.441253,0.012674638,1332597686160722304
60577982,5711.699,4.6388254,0.042623084,-0.02604208,6.09779,226.2502,11.103987,11.448938,10.592885,5.952349,0.011529359,1332597784944159744
60577996,6471.8276,4.9778895,-0.11301025,-0.22552006,29.98662,110.572136,12.710631,12.9994335,12.259995,1.5489502,0.0111618955,1332598648233414016
60578004,5834.2056,4.285025,-0.05974656,-0.14220084,3.2578304,233.49911,11.275524,11.553132,10.827656,3.6038055,0.011429693,1332599369787886336
60578073,4725.336,4.700342,-0.096116744,-0.17457181,6.7045183,112.58444,13.274992,13.802704,12.573069,3.1692526,0.06245124,1332604450733399808
60578101,5848.0254,4.099633,0.07307798,-0.07664742,9.637657,142.04266,11.842326,12.143987,11.377917,1.7179528,0.010986727,1332607100729049856
