sdss_id,reduced_chi2
55329757,10.5321
55015606,10.5232
54394121,10.5172
55145697,10.4786
55959042,10.4622
54524754,10.4495
55959058,10.4183
54865859,10.4130
55771847,10.3940
56282879,10.3536
55817647,10.3201
54796445,10.2508
56295029,10.2505
56058381,10.2458
54747194,10.2442
54630771,10.2433
54624478,10.2139
54810435,10.1877
55019113,10.1841
54949183,10.1724
54922484,10.1596
54635333,10.1432
56059287,10.1306
54388588,10.1295
55722729,10.1172
55021277,10.0969
55299202,10.0914
55080423,10.0779
54995166,10.0638
55061757,10.0590
55347171,10.0446
56295150,10.0292
54875816,10.0249
54845765,9.9971
54611556,9.9961
54880448,9.9782
55770457,9.9770
55745410,9.9689
54885177,9.9229
56058414,9.9189
54479340,9.9074
55938602,9.9042
54748887,9.8986
55747301,9.8873
55761919,9.8563
55938408,9.8448
54783042,9.8435
55746553,9.8376
55225128,9.8300
54621456,9.8178
54676608,9.8020
54521232,9.8010
54386702,9.7994
55750223,9.7962
55223320,9.7955
54500728,9.7652
54972104,9.7531
54980893,9.7506
56294492,9.7210
54998999,9.6939
54788215,9.6878
54517718,9.6584
55938824,9.6284
54745370,9.6003
56291108,9.5962
55074521,9.5882
56302895,9.5860
55985241,9.5630
55076885,9.5627
55254759,9.5574
55793503,9.5553
54886655,9.5520
54876137,9.5505
54844630,9.5448
55053518,9.5115
54646609,9.5004
56304869,9.4580
54524447,9.4574
54872628,9.4265
55743899,9.3965
55939127,9.3937
55055127,9.3863
55079918,9.3744
55242107,9.3721
54723861,9.3599
54775848,9.3493
55309174,9.3457
56246923,9.3203
54706321,9.2965
54682664,9.2903
54661736,9.2789
54806407,9.2562
54750422,9.2032
55334480,9.2003
56303961,9.1883
55750358,9.1865
54873767,9.1833
54999958,9.1769
54651192,9.1734
54472204,9.1588
54475224,9.1380
54865303,9.1308
55762885,9.1195
54599346,9.1122
55232689,9.1059
55199809,9.0832
55761258,9.0808
54834223,9.0787
54865835,9.0777
54803326,9.0772
55894649,9.0759
54491289,9.0654
54993019,9.0621
54706201,9.0566
55746845,9.0465
54505916,9.0391
54811027,9.0298
56282079,9.0198
55266842,9.0107
55240106,9.0055
55141904,8.9936
54979801,8.9689
54908704,8.9545
55117206,8.9482
56282304,8.9373
54999919,8.9274
55791932,8.9060
54964136,8.9054
55333884,8.8899
54385706,8.8737
54814462,8.8683
55067025,8.8594
55300278,8.8484
55760448,8.8289
54867911,8.8184
55896201,8.8123
56282020,8.8069
56106419,8.7968
54486173,8.7935
55490846,8.7812
55918998,8.7698
55122924,8.7060
55790349,8.6900
54429610,8.6828
54497627,8.6818
55304082,8.6697
54684198,8.6680
55337991,8.6641
54886934,8.6612
55706555,8.6521
55102055,8.6485
54840125,8.6484
54706359,8.6294
55311360,8.6040
55912463,8.5834
55722524,8.5667
54750562,8.5620
54532013,8.5574
55764355,8.5545
55224715,8.5392
54667088,8.5220
55345638,8.5209
54827128,8.4958
