sdss_id,n_visits_rv,dv_rad_max,v_rad_std,v_rad_median,mjd_span
61577827,1,,,-17.337,
61577953,1,,,-33.627,
61578065,1,,,-10.427,
61578457,1,,,-19.733,
61578735,1,,,-124.828,
61578958,1,,,-16.806,
61578960,1,,,-14.155,
61579292,1,,,39.319,
61579633,1,,,15.602,
61579847,1,,,2.390,
61579878,1,,,15.891,
61580211,1,,,-26.775,
61581048,1,,,-4.239,
61582214,1,,,-8.628,
61582263,1,,,-20.047,
61582631,1,,,-31.211,
61582999,1,,,-27.307,
61583007,1,,,-14.869,
61583394,1,,,23.562,
61583510,1,,,-16.700,
61583879,2,0.097,0.048,14.608,1.00
61583926,2,0.014,0.007,-19.337,1.00
61584014,3,0.092,0.042,-3.475,3.00
61584037,3,0.153,0.063,30.285,3.00
61584128,2,0.009,0.005,-51.117,1.00
61584260,1,,,-18.571,
61584417,1,,,-101.060,
61584504,1,,,-20.412,
61584651,1,,,-5.579,
61584914,2,0.143,0.072,-102.482,1.00
61584991,2,0.007,0.003,-42.758,1.00
61585016,2,0.329,0.165,-13.734,1.00
61585109,2,0.018,0.009,-16.303,1.00
61585132,2,0.012,0.006,-24.511,1.00
61585347,2,31.837,15.919,-110.678,1.00
61585612,2,0.009,0.005,-4.143,1.00
61585633,2,44.227,22.113,64.052,1.00
61586002,1,,,-56.375,
61587173,1,,,-3.912,
61587325,1,,,-17.420,
61587338,1,,,1.748,
61588491,1,,,-43.624,
61588722,1,,,8.673,
61588852,1,,,-3.649,
61588970,1,,,-21.067,
61589297,1,,,-16.672,
61589353,1,,,-11.906,
61589689,1,,,-26.106,
61589698,1,,,-31.890,
61595932,6,13.093,4.362,3.517,56.00
61596008,13,0.325,0.106,-87.197,755.00
61596069,19,0.445,0.129,-39.238,1909.00
61598574,1,,,-16.480,
61598584,1,,,-3.302,
61598763,1,,,-21.233,
61598803,1,,,-63.566,
61599902,6,3.702,1.315,12.936,56.00
61599939,13,0.306,0.087,-28.554,755.00
61600040,11,0.300,0.090,-30.579,31.00
61600057,18,83.252,29.233,-34.327,1210.00
61600445,7,2.694,1.023,-18.356,1154.00
61600539,6,2.887,1.107,-25.605,56.00
61601648,12,77.867,24.936,42.394,56.00
61601687,18,21.220,7.689,-28.990,1210.00
61601741,12,0.584,0.152,66.294,56.00
61601779,6,87.085,35.322,87.234,56.00
61601856,1,,,-61.053,
61602189,2,0.129,0.065,-32.420,1.00
61602882,12,0.203,0.050,-4.732,56.00
61603395,12,29.661,9.643,-15.903,56.00
61603465,6,67.151,23.695,-5.401,56.00
61603838,18,7.144,2.460,12.696,1210.00
61603958,6,1.308,0.480,-16.069,56.00
61603986,12,0.260,0.095,-56.814,56.00
61604016,6,90.229,32.652,3.723,56.00
61604156,19,36.438,9.931,21.138,1909.00
61604608,18,83.285,28.689,-54.152,1210.00
61604631,18,0.529,0.121,-20.441,1210.00
61604761,12,91.379,28.460,-5.718,56.00
61604854,12,15.816,4.457,-9.250,56.00
61604867,18,1.714,0.663,-21.554,1210.00
61605501,5,66.963,30.943,39.771,1114.00
61605550,5,7.948,3.038,-24.060,1114.00
61605757,4,2.908,1.154,-18.158,33.00
61605856,5,87.447,38.019,-29.521,1114.00
61606378,5,3.869,1.276,-23.086,1114.00
61606580,4,5.259,1.979,-93.176,33.00
61606744,5,0.502,0.174,-35.633,1114.00
61606747,5,0.426,0.158,-10.397,1114.00
61606781,4,34.372,14.239,-47.223,33.00
61606806,18,0.293,0.089,-20.601,1210.00
61606833,18,0.642,0.144,-32.973,1210.00
61607153,4,0.414,0.160,-30.627,33.00
61607268,18,0.288,0.088,-33.511,1210.00
61607306,18,1.359,0.321,-10.454,1210.00
61607403,12,18.405,5.423,-21.738,56.00
61607497,1,,,-50.599,
61607641,1,,,-17.893,
61608329,1,,,-45.105,
