sdss_id,gaia_dr3_source_id,in_kovalev22,in_kovalev24,in_kounkel21,kounkel_sbn,n_visits,prefers_binary
58701293,1027630921966276352,0,0,1,3,3,True
75949355,3230555004256693376,0,0,1,2,4,True
108415602,6168366270272520448,0,0,1,2,4,True
116817823,335135065453873152,0,0,1,2,3,True
60577161,1332473505769326336,0,0,1,2,4,True
80395159,3921317618129347456,0,0,1,2,3,True
91231627,4655488774974278912,0,0,1,2,7,True
114733617,6908165728354362112,0,0,1,2,3,True
55940396,605047784043173760,0,0,1,2,8,True
60353962,1303509212695011072,0,0,1,2,4,True
73489813,3016826814450125184,0,0,1,2,5,True
115506682,164676575208109568,0,0,1,2,8,False
57795883,901191512883466240,0,0,1,2,6,True
61696974,1505434385696544384,1,1,1,2,4,True
67834522,2143144459722221056,0,0,1,2,4,True
75791845,3209845217414873472,0,0,1,2,5,True
76352560,3314546285185684864,1,1,1,2,2,True
80002550,3843422815642891648,0,0,1,2,2,True
56456401,682209856517964416,0,1,1,2,8,True
57980552,931324213158683648,0,1,0,,8,True
85993652,4184128419331972352,0,0,1,2,2,True
61695238,1505061994852542848,0,0,1,2,3,True
67176185,2081875312442490624,0,0,1,2,4,True
76352041,3314393590508675456,0,0,1,2,4,True
80362350,3915245217271502464,0,0,1,2,8,True
109003332,6237177483215985024,0,0,1,3,3,False
67247135,2087212066998929792,0,0,1,2,8,True
80008205,3844435813744568576,0,0,1,2,8,True
80395806,3921426985176892416,0,0,1,2,4,True
115821978,199384996201642496,0,0,1,3,5,True
61283693,1433818760973118848,0,0,1,2,3,True
62369276,1631102306982305152,0,0,1,2,3,True
79746055,3794504138869936000,0,0,1,2,7,True
56704173,723803148741425024,0,0,1,2,3,True
60568033,1331156982330883968,0,0,1,2,3,True
61005144,1389889285713689728,0,0,1,2,3,True
73490089,3016878491495400576,0,0,1,2,8,True
57556462,876037749153430400,0,0,1,2,8,True
70169942,2510368050474698880,0,0,1,2,3,True
80097159,3861962372688672128,0,0,1,2,2,True
96065313,5287664981209079808,0,0,1,2,5,True
57450285,865414675826267648,0,0,1,2,3,True
60631835,1338817795239558400,0,0,1,2,5,True
57904442,919332462605866496,0,0,1,2,6,True
61838913,1533234021080352896,0,0,1,3,3,True
68437737,2188229903958294784,0,0,1,3,3,True
70184183,2513299348474336000,0,1,1,2,3,True
70559112,2587383686039721344,0,0,1,2,5,True
55746683,573518738364052608,0,0,1,2,8,True
61765842,1519346368883347584,0,0,1,2,3,True
76076720,3247765694125795200,0,0,1,2,4,True
56578545,702594084838943872,0,0,1,2,2,True
60916224,1375616009877514624,0,0,1,2,3,True
67676611,2127952992898069760,0,0,1,2,8,True
78690776,3602484328683809664,0,0,1,2,3,True
90329391,4565524573220549888,0,0,1,2,6,True
104602304,5931939865592900480,0,0,1,2,4,True
116312140,256376085485314688,0,0,1,2,3,True
73082879,2958604993700258304,0,0,1,2,5,True
76169335,3267648540847684224,0,0,1,2,8,True
80647578,3970547598427299584,0,0,1,2,6,True
83890940,4087847862581712768,0,0,1,2,2,True
57230393,826254473987252352,0,0,1,2,2,True
61990960,1561610393264445696,0,0,1,2,2,False
70286123,2533697041516436224,0,0,1,2,2,True
115403892,146306587766045952,0,0,1,2,3,True
116463131,274824237032676864,0,1,0,,4,True
55895636,598775276365266304,0,0,1,2,7,True
64785090,1930877525164451200,0,0,1,2,3,True
67052475,2073480571225222272,0,0,1,2,8,True
111646713,6632573035774189440,0,0,1,3,4,True
61601779,1488367285173626880,0,0,1,2,5,True
79227116,3695264418369799808,0,0,1,2,6,True
79927930,3830255201827248384,0,0,1,2,3,True
80595375,3960239436398748288,0,0,1,2,3,False
115341654,134689079188490368,0,0,1,3,2,True
57134057,807716914102030848,0,0,1,2,2,True
59013655,1085590474835300352,0,0,1,2,3,True
62134124,1588418651413296512,0,0,1,2,2,True
63226803,1767684328579438080,0,0,1,2,3,True
91729924,4666578384826086272,0,0,1,2,2,True
95732732,5257321861921894016,0,0,1,2,2,True
56581710,703129169044424448,0,0,1,3,4,True
61393045,1452419852014397312,0,1,1,2,6,True
62219026,1604302574345256448,0,0,1,2,3,True
78705015,3605309248932591232,0,0,1,2,3,True
96491519,5319060951625943552,0,0,1,2,3,True
116343065,259438324151134720,0,0,1,2,3,True
57450311,865415740978185216,0,0,1,2,3,True
60632428,1338886166820169344,0,0,1,2,2,True
61345303,1443654304800777600,0,0,1,3,6,True
68965166,2250720681680052608,0,0,1,2,2,True
70147033,2505967701861183360,0,0,1,2,8,True
76095428,3251306671323709440,0,0,1,2,4,True
80038733,3850428255194995712,0,0,1,2,6,True
80475414,3937239646012240896,0,0,1,3,3,True
55794614,581839670561634176,0,0,1,2,6,True
58343307,973084321912135296,0,1,1,2,2,True
60466218,1318172265402989184,0,0,1,3,3,True
66926012,2066411746538557312,0,0,1,2,2,True
76160211,3265710166271933440,0,0,1,2,8,True
80096958,3861924302098213120,0,0,1,2,2,True
116248211,250075334102560512,0,0,1,2,3,True
57073220,796039138543865856,0,0,1,3,4,True
67239045,2086643104093265792,0,0,1,2,2,True
78962672,3651075664524595584,0,0,1,2,3,True
55958618,608032232263626624,0,1,1,2,8,True
61004876,1389836268637363456,0,0,1,2,2,True
67156019,2080286930452658944,0,0,1,2,2,True
69174760,2289353534550439040,0,0,1,2,2,False
70339624,2543187854089747968,0,0,1,2,3,True
67832113,2142852474962186240,0,0,1,2,3,True
75950641,3230743811020539136,0,0,1,3,3,True
56776037,738631334352041984,0,0,1,2,6,True
61285125,1434026220777045376,0,0,1,2,3,True
62371422,1631379903604826624,0,0,1,2,6,True
70108443,2498531773442031104,0,0,1,2,8,True
76391447,3319064350266006400,0,0,1,2,3,True
94892697,5178623045824837120,0,0,1,2,2,True
70695258,2616298093071019008,0,0,1,2,2,True
76473135,3326689665265356160,0,0,1,2,8,True
61455395,1462543983283839616,0,0,1,2,8,True
67834717,2143174460067393664,0,0,1,2,5,True
79736955,3792786907865465344,0,0,1,2,7,False
85850312,4170323501078999168,0,0,1,2,3,True
55661833,556026161199240576,0,0,1,2,2,False
57094301,800222677207565312,0,0,1,3,4,True
59565802,1176119658060456704,0,0,1,2,8,True
60620921,1337648838281821312,0,0,1,3,5,True
61059168,1399473689916868608,0,0,1,2,5,True
66035466,2020881725975874944,0,0,1,3,2,True
69521444,2364497457725720832,0,0,1,2,6,True
70728609,2622222880196664960,0,0,1,2,2,True
74932044,3121799594735953792,0,0,1,2,6,True
80433575,3928994305235773184,0,0,1,2,6,True
55936305,604636429255599360,0,0,1,2,2,True
57267592,833036605304282496,0,0,1,3,6,False
58640247,1017147181675936128,0,0,1,2,8,True
61441153,1460128253159671424,0,0,1,2,4,True
78848111,3632279886908885888,0,0,1,2,8,True
90867093,4626820765920275840,0,0,1,2,8,True
57989391,932736608859587456,0,0,1,3,6,False
61057243,1399186957900395648,0,0,1,2,4,True
61735487,1513048709877100160,0,0,1,3,3,False
73492592,3017239818505685888,0,0,1,2,8,True
79031000,3662452891156747648,0,0,1,3,8,False
117081766,368680409301708288,0,0,1,2,3,True
70120143,2501117098940434688,0,0,1,2,2,True
76063161,3245164455774285824,0,0,1,2,4,True
79025416,3661581979163461760,0,0,1,3,8,True
88984164,4428673171273659904,0,0,1,2,8,True
114816753,68964290684160,0,0,1,2,7,True
65546283,1992426983498683136,0,0,1,2,3,True
67758361,2134829544776833280,0,0,1,2,8,True
85249558,4138312285199391872,0,0,1,2,3,True
94802771,5158715563170278272,0,0,1,2,3,True
113819758,6770566280553521408,0,0,1,2,2,True
115039271,65800930496992512,1,1,1,2,8,True
55939036,604923126912959104,0,0,1,2,3,True
56425722,677887646245897856,0,0,1,2,4,True
57049436,791615012990193920,0,0,1,2,5,True
60995978,1388095569931559424,0,1,0,,3,True
61447187,1461065208863988224,0,0,1,2,8,True
61877965,1540718813343428608,0,1,1,2,4,True
115505821,164483610917430144,0,1,0,,4,True
61108037,1407486797517247616,0,0,1,2,3,True
61812858,1528167647594456960,0,0,1,3,8,True
69621750,2391134192060179840,0,0,1,2,2,True
76152470,3263962737353566464,0,0,1,2,3,True
61780530,1522319345245842688,0,1,0,,4,True
67471697,2106981148624921344,0,0,1,2,8,True
70152687,2506948496297788160,0,0,1,2,6,True
54622528,442724305458783360,0,0,1,2,5,True
60251783,1288269912815441792,0,0,1,2,8,True
71236044,2713140122308058496,0,0,1,2,3,True
101614972,5763821307796752512,0,0,1,2,2,True
61948903,1553851414586014720,0,0,1,2,4,False
62435164,1642085332929037184,0,0,1,2,2,True
70426501,2559187019583080320,0,0,1,2,3,True
71774349,2817294865942826496,0,0,1,2,2,True
79075600,3670172802813812608,0,0,1,2,3,True
61529830,1475570550374176128,0,0,1,2,8,True
75046718,3131326240219335552,0,0,1,2,2,True
110542870,6459140808955142912,0,0,1,2,6,True
115292841,124100988369919744,0,0,1,2,8,True
56396670,674283550209503872,0,0,1,2,5,True
60971790,1384201615142553088,0,0,1,2,7,True
76314993,3302434821009347072,0,0,1,2,3,True
90652126,4599671349930200576,0,0,1,2,2,True
57935711,923934262364817664,0,0,1,2,4,True
61433174,1458634051218309888,0,0,1,2,8,True
61643268,1495802732556941696,0,0,1,2,2,True
67109815,2076516292768208000,0,0,1,2,2,True
70579435,2591575402321917696,0,0,1,2,6,True
75750217,3203604565511506944,0,0,1,2,5,True
80713403,3983958685348378368,0,1,0,,7,True
113579653,6758635028902713856,0,0,1,2,2,True
115428129,151862385661759360,0,0,1,2,2,True
55919033,601840680424055168,0,0,1,2,4,True
71428439,2750050968170853888,0,0,1,2,2,True
97246278,5366749828939568768,0,0,1,2,5,True
