sdss_id,l,b,flagged
54518322,118.91573458677405,-0.3647040151122633,False
54518587,118.6822881663028,-0.23726951767103807,False
54518723,118.75373053490796,-0.022166837130790196,False
54518797,119.16535752879305,-0.1530931377085744,True
54518850,119.08237825158797,-0.08432299924273412,False
54519481,118.68056473118442,-0.06865183840883285,False
54519651,118.62683004296534,0.05059561548182008,False
54519745,118.50631208842596,0.12959716086726736,False
54520122,118.35907997729586,0.31727825895569756,False
54520685,118.49180401048343,0.4295857244421032,False
54520743,118.50396050567547,0.5288197034169859,False
54521039,118.31160614519612,0.8052116984580154,True
54521079,118.35349527444744,0.8393775666067946,False
54521232,119.12357319658838,0.2774605842948799,False
54521254,119.15195742112478,0.2915473688715845,False
54522031,119.37180007677622,0.7405554348571068,False
54522465,118.94107093899252,1.1235319197675082,True
54522550,118.68417219029148,0.610566085075963,False
54523873,118.658333579856,1.375211476083251,False
54524447,118.01311640120228,0.6908656887436048,False
54524668,117.81507098476835,0.7351370304916149,True
54524754,117.90873228323244,0.7903696398552744,False
54525646,117.99598845112347,1.210656030252389,False
54526170,117.566533216374,1.0752240271379496,True
54527184,117.6029252452945,1.5493908087967847,True
54527238,117.43838629530916,1.4483645643876897,True
54527522,117.39509831217886,1.7496575633168618,False
54528726,118.26746899418944,1.7150553843174308,False
54528750,118.24766562977268,1.7552029862852243,False
54529098,118.06853260610163,2.0126577755415305,True
54530438,119.20989811744388,1.0809821254053362,False
54531049,119.4362566597749,1.467741260701175,True
54531129,119.324784760073,1.5977593576098144,False
54531258,119.05004033157189,1.6927271407446376,False
54531339,119.15933440532234,1.7351961706612153,False
54531481,118.79693055436205,1.4158117242516572,False
54531551,118.7296378975213,1.550329895440048,False
54531574,118.89094196196969,1.519553425239488,False
54531734,118.69890623693493,1.632763561773452,False
54532013,119.03986157204577,1.675326536266146,False
54532202,118.86997590133224,1.9694109883987483,False
54532841,119.2072221017005,1.93810544385524,False
54533508,119.06539131420483,2.1638225335601646,False
54533779,118.6695448549795,2.479728019792146,False
54534039,119.15990188724278,2.6745836489000734,True
54534158,118.89374107689208,2.793925827290152,False
54534296,118.87251133588008,3.0444022994961006,True
54534370,118.452842104577,1.901821461297254,False
54534702,118.03353463922586,2.1601728635839885,False
54534868,118.10844588905113,2.309873666222705,False
54535435,117.9019981134585,2.2526086409895574,False
54535469,118.00264888438832,2.355644500477417,False
54535594,118.0262550131385,2.5162360965964177,False
54535822,117.80967167122543,2.735994305506519,False
54536249,117.7734127022332,3.2273234240268738,False
54536680,118.5840219477198,3.0558311342374083,False
54537067,118.17828360167121,3.080767661913677,False
54537074,118.14230304671854,3.174869616014998,False
54537614,117.85512110165841,3.776428795878375,False
54539594,146.97440077581896,-13.014566139873384,False
54539881,146.41554227689784,-13.413979587277254,False
54540060,146.68426272120092,-12.89500432189274,False
54540127,146.4809682336325,-13.035664043208536,False
54541380,145.5332516465292,-13.312465689101879,False
54541648,146.1266118114115,-13.10954491734744,False
54541775,146.32790799697293,-12.706670711380422,False
54542118,145.67633028418763,-13.002818588180851,False
54542120,145.6547292739372,-12.95151076395255,True
54542230,145.82913226122912,-12.709894492983372,False
54542428,145.73393545987207,-12.39962198919384,False
54542673,147.00902805105082,-12.868698523782744,False
54542702,146.91283070672944,-12.822904204669868,False
54542816,147.23381939761137,-12.354888983308411,False
54543162,146.690117152997,-12.518697752771612,False
