sdss_id,teff1,teff2
115497441,4809.418965467517,4809.418965467517
115546239,5157.1569050745975,4455.596845848181
115634295,5766.376767072162,4697.953233241671
116011382,5771.848272472001,5603.398535702367
116063546,6197.089406508059,5757.613073874327
116292823,5334.121696218497,4888.314847047068
116342937,5113.330452524226,4292.365669213143
116432731,6685.084491274157,6685.084491274157
116486099,4949.636236325375,4949.636236325375
116763615,4888.618939236624,4530.66764789847
116783758,4538.116828814023,4046.7754100877282
117079253,5250.375784682516,4355.718829720035
117471243,5004.094914520562,4009.4244780352606
125826442,5372.637655930153,5045.876751526977
125900641,5538.306302441872,4365.531311957441
125915361,4378.890754516723,4378.890754516723
126007275,5070.559672348885,4863.283109054866
126020010,6999.981101666299,6999.981101666299
126035250,4577.649807199455,4149.231662657816
126061119,5176.416070025046,4576.5992099001405
129050109,6322.200342331594,6322.200342331594
54394121,6105.830348662667,4277.957727068173
54531049,4618.41153793408,4360.700701101465
54586386,5131.080005971212,4419.589060235491
54644103,6535.37097397635,6034.501451316127
54655501,5798.794366383358,4338.1084518103
54833894,6502.784118534362,4968.435136959969
54863875,6554.859930758071,6017.335645983898
54884278,6599.277654777783,6599.277654777783
54933999,4786.236886750571,4037.89966908471
54945572,6757.749559260908,6757.749559260908
54980131,4737.677251348531,4737.677251348531
55016169,4200.616926629842,4200.616926629842
55062932,5195.374524566486,4289.225215535101
55078393,5131.021618806607,4601.462789393209
55102659,6322.669985525778,3896.9681928901396
55109102,4200.159367611971,4200.159367611971
55113601,6487.145695882036,5557.613484830029
55182545,6047.727457628937,5731.3385277843645
55391989,5770.074122233811,4329.463663440511
55413835,6999.336164738942,6301.088007847847
55460984,4200.111513579653,4200.111513579653
55501628,4206.154495656411,4118.8338430722315
55509768,5937.495084038959,4723.993743276482
55574850,6274.858915592065,3964.8669611034916
55583194,5696.14277905162,3927.2892025371652
55660884,5022.263827849947,4796.141096249462
55745743,5563.2844161218,5484.633274455551
55750022,4842.694756321102,4600.391397285756
55782797,4854.516399033314,4437.157137093592
55899483,5267.29181787253,5267.29181787253
55912682,4675.401483638604,4413.343407697483
55916472,6266.0806071728175,4108.19145910782
55919538,5490.144252127448,5279.0257969417235
55958236,5622.911770059447,3942.837831858962
55972100,5924.868648161771,5701.320265106567
56002229,5540.74389204049,4132.719997066787
56125566,5373.295040306707,4331.000513578835
56126668,5402.153011771919,5391.986070474522
56198460,6642.04247320612,6059.265115047508
56295758,4653.470241793803,4518.364020716526
56304837,5333.242347179073,4816.451487383665
56309764,6330.86985513764,5099.614393802984
56315030,5545.288003166335,4835.131785199165
56317256,6141.639062248833,5771.666465968997
56347278,5726.788745212619,4516.710987936433
56369505,4373.070695894408,4271.19872947451
56423235,6073.040157726176,5876.638924922851
56479003,4757.770692085622,4458.988935877346
56487724,6702.546206379006,6702.546206379006
56516487,6192.256780237043,5571.586044760752
56524221,4200.167309242796,4200.167309242796
56585841,4518.16908242268,4234.300330572844
56588212,5897.256435163888,5585.647818678679
56591442,5038.076524715189,4923.575863895052
56610880,5400.372024134219,5027.63905049503
56677169,6506.192338674641,6506.192338674641
56703849,4200.162843802658,4131.27500865281
56706052,4867.277426363832,4119.899279042379
56707390,4200.606549716009,4124.399651050457
56780343,6339.5868937266105,6339.5868937266105
56844748,5523.746291817487,4385.860018978783
56852600,4200.0079215873175,4200.0079215873175
56871650,5774.950903986129,4832.240440824166
