sdss_id,gaia_dr3_source_id,ra,dec
54684264,450196002364512128,53.0740485,59.3067122
54684388,450209162145946368,52.3764706,59.4075742
54685464,450317979437885312,53.2086473,59.8146204
54695748,451390106353515776,40.4409722,51.9637690
54706201,452437425538359808,36.7957694,52.9228643
54706442,452459106532740096,36.4574615,53.1957510
54713697,453079849570641664,42.0438546,53.5341613
54714302,453134923927364480,40.9154737,53.8044907
54714646,453164821201665792,40.9939137,54.0224932
54716112,453280132482209280,42.6805073,53.9170076
54718774,453547245088608512,41.6237398,54.3403504
54719303,453586621348925440,41.9994123,54.8150459
54722660,453883111533681536,40.2721526,53.7181187
54723861,453984232243086592,40.2810899,54.3853349
54723932,453991310348934528,40.3414056,54.6263695
54730691,454496879538534400,42.4984768,55.8413413
54731325,454544605214268672,41.4366813,56.1399761
54731489,454560131514893696,42.1818009,56.1782933
54732888,454657786194561152,39.5553445,55.7011741
54734817,454779037408048512,41.3559551,56.6273797
54734877,454781584331773312,41.0529850,56.6575617
54735119,454799417035621504,40.4344361,56.4934782
54739757,455124735036067840,35.1229093,53.2084062
54745370,455490734970473600,36.3737472,53.7397545
54749494,455752899776049152,35.4443167,54.2488144
54750422,455808803070744832,34.2709105,54.5828980
54752473,455944489680093056,34.6230055,55.1920415
54753056,455989226058592128,35.2141860,55.8253653
54755605,456178307694651008,33.5920496,54.3757924
54763002,456743009997736448,34.7549834,55.8871227
54763295,456764897153385344,33.7565859,55.5646706
54763397,456771253703386496,33.7472846,55.7462488
54763893,456810148927837568,34.5001297,56.2325880
54763916,456811385878405888,34.4987875,56.2730814
54766488,456987823133838464,33.2814693,56.1711301
54766591,456993526850282240,32.8737533,56.1587995
54766911,457016268692671872,33.4295776,56.5039712
54766944,457018197144965120,33.5627178,56.5757818
54766951,457018815618416000,33.8213396,56.4877439
54768053,457096331189362432,33.1659142,57.1105870
54768292,457112617705188992,32.6535573,57.2196900
54772934,457431338635701376,36.1636961,55.7854696
54774198,457520158561303680,35.9285731,56.1196127
54775699,457619664363369600,36.9869683,56.6395555
54775898,457634331667957248,36.4958005,56.6579061
54775985,457640417645156608,36.3349653,56.8538455
54776021,457643544382479616,36.9916363,56.7012481
54778089,457774077025716992,38.1715662,56.7110512
54778977,457828124894975232,40.1962835,56.8597708
54779606,457863893382760064,40.7117297,57.2947860
54781919,457992330084893568,37.7445702,57.2510952
54782454,458019199401130880,38.1032362,57.4289929
54782598,458023906685170816,38.3908175,57.5435672
54782786,458029404243236480,38.1782486,57.6848404
54782862,458034214602238720,37.5102815,57.2489170
54783042,458044728688621568,37.3598008,57.3839542
54783109,458047924143154688,37.1539301,57.2560740
54783121,458048851856088064,37.0432538,57.2748029
54783495,458067268676665984,37.7850353,57.5270632
54783867,458083142876374528,37.5502218,57.6384015
54783881,458083761350815232,37.5585504,57.6750757
54786770,458222677769713792,38.8236860,58.6311263
54786830,458226319902083968,38.5425551,58.5204013
54786904,458230683590178304,38.3662402,58.5986194
54787579,458272258875379968,34.9529241,56.3956654
54787832,458287548959789568,35.8976462,56.5744267
54788187,458310054588240384,35.4683811,56.9049953
54788498,458328574487996032,34.6745243,56.7613149
54788754,458341906066461824,34.5764726,56.8506146
54789025,458356474596389888,35.2203276,56.9257495
54789261,458363960710661376,35.0997442,57.1514556
