alpha,rep,twin,sdss_id,K1,n_ep,loglike
0.10,0,1,57464550,41.6885,12,-830.9618;-890.5051;-877.9480;-923.1600;-933.0481;-861.9313;-880.8042;-905.6740;-866.1407;-877.0734;-938.7405;-930.4218;-809.1708;-848.7621;-854.8025;-821.6175;-764.3064;-634.6219;-638.6450;-625.3270;-567.3238;-503.9520;-373.6860;-405.3232;-382.7458;-232.1197;-215.6435;-199.7083;-172.8854;-141.0485;-206.1845;-156.3159;-159.2529;-174.0339;-149.6768;-209.2821
0.10,0,1,57543771,48.6986,12,-187.7385;-178.5800;-171.1585;-177.0819;-179.1914;-162.0571;-179.6342;-179.3330;-193.5658;-177.0467;-169.8162;-169.3671;-155.8506;-183.0365;-182.3969;-145.3002;-91.4037;-112.8096;-139.9352;-123.1460;-52.6243;-63.0685;-127.5190;-101.3214;-95.2960;-67.9259;-65.0806;-119.6442;-126.6166;-82.3393;-73.9894;-124.6416;-148.7571;-97.3048;-102.8456;-103.4784
0.10,0,0,57558457,36.7970,11,-99.0656;-79.8619;-93.5519;-92.1522;-101.0593;-115.6583;-83.8416;-105.5813;-108.7318;-84.2078;-89.0776;-92.0459;-125.0636;-95.7025;-101.0062;-101.2352;-110.1362;-104.0681;-59.0213;-117.9503;-82.8518;-130.0034;-119.3066;-149.1989;-94.7582;-168.6370;-114.3633;-150.4410;-190.6587;-226.3369;-170.0791;-189.0884;-209.1343;-184.3802;-155.2627;-172.4470
0.10,0,0,57720410,28.4680,9,-69.5381;-63.5275;-60.4764;-58.1994;-54.2754;-54.0567;-54.0507;-56.5857;-55.8269;-48.3915;-59.5141;-49.1120;-55.8487;-59.8481;-44.3362;-35.1841;-39.0272;-42.0864;-30.5398;-32.0135;-40.0926;-37.2971;-44.0132;-45.1685;-50.0976;-35.7077;-43.7138;-37.7897;-39.0163;-39.8812;-31.8468;-39.4390;-38.9760;-34.9747;-52.5171;-52.2014
0.10,0,1,57793887,19.4889,12,-112.7934;-100.8925;-88.5681;-101.9373;-97.7749;-91.1939;-90.9465;-88.7248;-109.5196;-118.3331;-87.1461;-85.0071;-108.2220;-82.8712;-114.0384;-83.0642;-95.6873;-66.2066;-82.1708;-74.6906;-76.7235;-105.0398;-54.0748;-65.0114;-102.1960;-69.9148;-127.1476;-107.8722;-103.8404;-133.9331;-72.8888;-141.7557;-118.1891;-140.1107;-93.7121;-151.1942
0.10,0,0,57796224,18.0698,8,-23.1630;-22.8794;-22.6540;-22.2736;-22.6267;-24.4946;-21.9997;-23.5216;-22.0238;-23.6449;-24.0060;-24.2724;-21.9654;-24.2891;-21.8250;-21.4143;-21.6265;-21.1033;-19.3172;-20.9476;-20.0727;-21.7015;-21.5164;-21.8374;-22.6050;-22.0741;-21.3720;-20.7227;-20.3272;-20.7096;-21.0912;-20.7114;-20.5340;-19.4493;-19.6131;-20.5596
0.10,0,1,57806686,15.0367,8,-28.0835;-25.2980;-22.8811;-25.8110;-26.3927;-26.2272;-25.9870;-23.4414;-26.0919;-25.9651;-25.4484;-27.1440;-25.2850;-25.7744;-23.6594;-26.0808;-22.3458;-25.4170;-24.1350;-25.3871;-24.9027;-26.8260;-25.8625;-25.4277;-23.5168;-26.7547;-29.0092;-24.7764;-27.1340;-25.0536;-27.9816;-23.5262;-26.0674;-27.5264;-24.5585;-24.3916
0.10,0,0,57827001,19.7628,8,-21.6010;-21.6266;-21.1840;-20.3189;-21.7370;-23.0095;-22.0040;-21.1834;-21.3383;-21.9683;-22.7104;-22.4492;-22.7158;-21.2280;-22.1297;-21.8469;-22.5414;-23.1668;-22.3319;-22.3988;-22.6745;-20.7250;-22.4092;-22.8774;-22.3246;-22.9819;-22.6111;-22.1879;-22.3105;-22.1125;-22.3151;-21.7719;-21.9980;-21.8732;-21.8463;-20.8886
0.10,0,1,57920866,14.7303,16,-35.3269;-35.2901;-35.2919;-35.3449;-35.3569;-35.2149;-35.2859;-35.4058;-35.2329;-35.3436;-35.3071;-35.3200;-35.3063;-35.2081;-35.2223;-35.1524;-35.2535;-35.0320;-35.0059;-34.8880;-35.1633;-35.0377;-34.8284;-34.7814;-34.8513;-34.5979;-34.5359;-34.6536;-34.4473;-34.4266;-34.3691;-34.1498;-34.2075;-33.9638;-33.6458;-33.2647
0.10,0,1,57923300,46.2298,16,-226.4459;-223.3399;-218.2306;-216.3726;-223.0275;-221.8378;-247.8828;-213.2637;-230.4588;-215.4902;-220.6068;-224.6745;-206.9062;-191.1525;-210.5071;-233.3401;-150.5099;-168.7410;-146.1246;-127.1593;-121.3791;-127.5657;-105.1726;-162.6679;-97.5758;-116.7561;-95.7552;-91.0740;-61.4750;-75.2075;-121.3972;-124.0009;-126.2651;-70.0431;-148.6670;-85.0024
0.10,0,0,57926283,34.0257,16,-708.3296;-665.1292;-647.0877;-608.1086;-664.0147;-673.6430;-652.8455;-626.0418;-853.8194;-720.3364;-729.2740;-718.4144;-691.8425;-643.1927;-668.5701;-626.9451;-590.8434;-607.0868;-514.3864;-391.4857;-251.2832;-269.9018;-224.5266;-248.5508;-93.5330;-187.2714;-118.2661;-165.1666;-117.9065;-88.8175;-148.3566;-138.2058;-135.6869;-60.0038;-115.3568;-199.1435
0.10,0,1,57945880,32.6177,8,-36.7898;-29.5181;-27.5580;-29.4856;-32.0967;-27.5428;-31.3176;-27.1034;-27.8979;-33.5159;-32.2070;-40.1951;-28.9285;-35.6421;-36.3512;-31.5076;-26.9443;-34.3470;-31.0008;-30.6694;-28.8479;-32.0442;-27.2800;-28.5742;-32.7509;-25.7653;-33.1063;-27.2468;-27.5880;-27.8272;-31.2494;-29.9319;-29.1711;-25.9724;-27.9130;-26.7484
0.10,0,0,57951378,15.0286,8,-23.5633;-26.0460;-24.4025;-27.2609;-23.4935;-27.6155;-24.8053;-28.0840;-24.1613;-26.7468;-24.7084;-24.8131;-24.1568;-28.0804;-24.2534;-28.2600;-28.2861;-25.9149;-25.2801;-24.5114;-28.8303;-25.4539;-27.9603;-27.6728;-23.2083;-25.2146;-28.7283;-30.4803;-29.8385;-25.2753;-28.0690;-33.4647;-29.7384;-34.2386;-28.8896;-21.7553
0.10,0,0,57954840,22.6757,11,-31.8769;-30.6288;-32.4636;-28.9932;-28.5573;-29.2566;-29.5148;-30.4839;-28.9603;-28.9066;-30.8169;-31.2978;-28.6445;-28.9993;-28.3900;-31.6234;-30.2480;-30.7370;-31.5256;-30.9392;-28.5270;-29.0221;-29.2323;-34.2726;-29.9044;-31.6047;-30.9217;-29.3961;-28.8808;-29.5419;-30.0893;-29.8016;-28.0704;-29.9956;-29.2988;-30.6500
0.10,0,0,57966218,12.4414,16,-26.3454;-26.4387;-26.4328;-26.2955;-26.2839;-26.6785;-26.4657;-26.3554;-26.3612;-26.2160;-26.2710;-26.3830;-26.3630;-26.3116;-26.3384;-26.2911;-26.0789;-26.2646;-26.2717;-26.2150;-26.1359;-26.0386;-25.8536;-25.8037;-25.6299;-25.8140;-25.6900;-25.5529;-25.4558;-25.3871;-25.4026;-25.1818;-25.0202;-24.8659;-24.4482;-24.1255
0.10,0,0,57984569,18.8654,11,-30.5673;-30.8789;-33.8693;-31.2333;-30.0633;-31.8208;-32.2144;-32.4504;-30.2495;-30.5530;-29.5095;-35.0541;-37.5993;-30.9217;-33.0578;-32.0534;-26.9539;-32.7660;-29.3645;-33.4920;-29.7751;-31.2400;-29.5631;-33.6362;-35.0642;-34.6110;-36.1824;-34.3694;-37.6998;-35.9179;-33.5204;-33.8399;-40.2635;-33.7948;-32.0017;-30.7184
0.10,0,0,58003711,52.7895,8,-36.0414;-34.7340;-39.0721;-40.6773;-33.8320;-38.6268;-33.1265;-36.5132;-34.4542;-40.5788;-33.8585;-36.1526;-34.7537;-30.7406;-35.7556;-35.1432;-43.6174;-38.0897;-45.5773;-39.3060;-41.1935;-38.8199;-42.4232;-47.4703;-33.7098;-50.2846;-43.7595;-45.5924;-45.9397;-34.0051;-41.9182;-45.2343;-34.7028;-45.2788;-40.7718;-32.2739
0.10,0,0,58358184,14.3247,10,-16.5507;-16.5608;-16.5453;-16.5438;-16.5358;-16.5313;-16.5404;-16.5368;-16.5500;-16.5554;-16.5248;-16.5481;-16.5501;-16.5278;-16.5289;-16.5522;-16.4998;-16.5471;-16.5333;-16.5304;-16.5247;-16.4981;-16.4850;-16.4691;-16.4375;-16.3957;-16.3894;-16.2920;-16.2363;-16.1539;-16.0504;-15.9191;-15.7593;-15.5915;-15.3332;-14.9604
0.10,0,0,59225244,23.3748,8,-38.3435;-36.7114;-41.7276;-29.7828;-38.0646;-36.5437;-44.4106;-42.5498;-49.5846;-46.1884;-42.4880;-41.0254;-43.0442;-45.2337;-41.7500;-37.5264;-39.9532;-44.6094;-38.5008;-44.9594;-38.8341;-42.2444;-35.3851;-48.6953;-46.7836;-49.4870;-44.5966;-40.4868;-46.8824;-47.8767;-48.0685;-36.8427;-37.7699;-41.1450;-52.4616;-44.6666
0.10,0,1,59227535,20.7338,8,-30.2946;-26.7789;-36.7915;-35.9149;-37.6485;-40.7679;-33.3978;-33.1861;-48.3542;-32.6255;-27.1244;-28.9427;-49.2488;-34.7888;-34.0519;-42.3066;-34.8996;-37.6191;-41.2581;-43.4543;-37.3237;-46.4077;-36.2115;-40.8655;-29.6659;-33.7717;-43.0543;-52.7821;-43.6218;-47.8331;-45.9996;-44.5292;-47.5583;-46.0193;-36.6984;-47.8790
